epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
3,644.91,1.31797,0.90133,1.12635,0.69087,0.21775,0.31075,0.17481,1.94941,2.34765,1.35638,0.00236734,0.00197052,0.00197052
4,824.973,1.26963,0.86586,1.10206,0.51842,0.21221,0.26649,0.15978,1.96593,2.30305,1.3861,0.00195155,0.00195155,0.00195155
5,1006.21,1.22881,0.81424,1.08265,0.49152,0.21142,0.26421,0.16752,1.91297,2.64462,1.3494,0.00191441,0.00191441,0.00191441
6,1185.56,1.18725,0.76937,1.06477,0.51708,0.21019,0.25618,0.15873,1.94504,2.47753,1.35608,0.00186737,0.00186737,0.00186737
7,1366.11,1.16432,0.74677,1.05784,0.5805,0.21329,0.26899,0.16568,1.95632,2.34317,1.37735,0.00181093,0.00181093,0.00181093
1,177.346,1.3879,1.53134,1.33238,0.52769,0.12352,0.32076,0.22278,2.53766,5.95115,2.03265,0.0680284,0.000652482,0.000652482
2,271.771,0.78266,0.57358,0.9895,0.49219,0.32174,0.35754,0.23877,2.00149,2.63169,1.52706,0.0353581,0.00131557,0.00131557
3,366.308,0.73251,0.52913,0.96693,0.46529,0.3271,0.35397,0.23328,nan,nan,nan,0.00267356,0.00196434,0.00196434
4,462.793,0.70041,0.50487,0.95507,0.52215,0.33665,0.36779,0.24947,2.14011,3.09393,1.73981,0.00195155,0.00195155,0.00195155
5,559.375,0.65882,0.47746,0.92949,0.5673,0.29541,0.31323,0.2067,2.11348,3.1619,1.61523,0.00191441,0.00191441,0.00191441
6,657.282,0.6351,0.45409,0.92291,0.52659,0.35824,0.35791,0.24448,2.0309,2.87791,1.60038,0.00186737,0.00186737,0.00186737
7,753.408,0.62946,0.44352,0.9204,0.49775,0.31761,0.34871,0.23648,2.27117,3.02939,1.88175,0.00181093,0.00181093,0.00181093
8,849.676,0.61201,0.42976,0.91049,0.49995,0.3258,0.33813,0.23432,2.18027,3.11099,1.77069,0.00174571,0.00174571,0.00174571
9,958.47,0.59415,0.42062,0.90726,0.5431,0.34554,0.37559,0.25491,2.16354,2.87783,1.78077,0.00167244,0.00167244,0.00167244
10,1068.27,0.57731,0.4051,0.8992,0.4898,0.32718,0.34466,0.23669,2.17572,2.98662,1.7682,0.00159191,0.00159191,0.00159191
11,1164.3,0.56282,0.39009,0.89277,0.52669,0.29792,0.32807,0.22805,2.17374,2.95225,1.82339,0.001505,0.001505,0.001505
12,1274.48,0.56531,0.39493,0.89432,0.51955,0.31878,0.34012,0.23103,2.15105,2.93922,1.74052,0.00141267,0.00141267,0.00141267
13,1382.57,0.55057,0.37936,0.8851,0.5245,0.33232,0.35119,0.24262,2.12392,2.88296,1.84662,0.00131593,0.00131593,0.00131593
14,1491.37,0.53159,0.36592,0.88181,0.66089,0.29361,0.35306,0.24864,2.13167,2.98678,1.78291,0.00121583,0.00121583,0.00121583
