epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
9,1458.1,0.72432,0.49527,0.93002,0.88657,0.81482,0.88889,0.64252,1.11688,0.67017,1.01511,0.00167244,0.00167244,0.00167244
10,1611.8,0.71174,0.47696,0.92667,0.88971,0.82348,0.89861,0.65457,1.11054,0.65942,1.01511,0.00159191,0.00159191,0.00159191
11,1764.99,0.69889,0.46925,0.91912,0.87782,0.83731,0.90455,0.66583,1.09004,0.65872,1.00876,0.001505,0.001505,0.001505
12,1917.6,0.69653,0.46331,0.9197,0.88877,0.8419,0.90695,0.65987,1.09357,0.64121,1.00517,0.00141267,0.00141267,0.00141267
13,2071.53,0.68101,0.45194,0.91365,0.89533,0.85873,0.91839,0.67983,1.06347,0.62666,0.99323,0.00131593,0.00131593,0.00131593
14,2224.81,0.66943,0.43999,0.9092,0.91595,0.85124,0.92965,0.69335,1.05423,0.59754,0.99571,0.00121583,0.00121583,0.00121583
15,2379.44,0.65877,0.43183,0.90523,0.9139,0.86077,0.92784,0.69793,1.02324,0.58335,0.98356,0.00111348,0.00111348,0.00111348
16,2533.93,0.64115,0.4212,0.89879,0.90151,0.87805,0.93146,0.70134,1.02349,0.57517,0.98287,0.00101,0.00101,0.00101
17,2687.69,0.62815,0.40827,0.89307,0.91624,0.87183,0.93851,0.70868,1.00486,0.55527,0.97943,0.000906517,0.000906517,0.000906517
18,2840.51,0.62185,0.39957,0.89238,0.9161,0.87882,0.93887,0.70812,0.9977,0.55295,0.97578,0.000804167,0.000804167,0.000804167
19,2992.86,0.60671,0.38848,0.88741,0.90964,0.87794,0.93472,0.71027,0.9959,0.54954,0.97088,0.000704073,0.000704073,0.000704073
20,3146.22,0.59265,0.38289,0.8832,0.91732,0.89089,0.9445,0.72259,0.97703,0.528,0.96946,0.000607331,0.000607331,0.000607331
21,3299.05,0.5851,0.37425,0.88229,0.93066,0.89742,0.94672,0.72574,0.96587,0.52263,0.965,0.000515,0.000515,0.000515
22,3453.25,0.58488,0.37214,0.88025,0.9239,0.893,0.94924,0.73146,0.95961,0.51599,0.96257,0.000428093,0.000428093,0.000428093
23,3606.8,0.56441,0.35632,0.87483,0.92505,0.90284,0.94996,0.73155,0.95446,0.51642,0.95992,0.000347561,0.000347561,0.000347561
24,3760.7,0.56699,0.35814,0.8751,0.93153,0.90558,0.95146,0.73527,0.9475,0.50617,0.95679,0.000274287,0.000274287,0.000274287
25,3913.62,0.54941,0.3455,0.87291,0.92579,0.9063,0.95239,0.74002,0.93492,0.4981,0.95399,0.000209073,0.000209073,0.000209073
26,4055.81,0.49499,0.29327,0.84299,0.92479,0.90468,0.95291,0.74164,0.93785,0.50032,0.95293,0.000152635,0.000152635,0.000152635
27,4198.08,0.48714,0.28311,0.84092,0.92263,0.90836,0.95275,0.74492,0.92651,0.49552,0.94989,0.00010559,0.00010559,0.00010559
28,4341.12,0.48745,0.2839,0.84006,0.91852,0.91229,0.95331,0.74486,0.92216,0.49178,0.94905,6.8454e-05,6.8454e-05,6.8454e-05
29,4482.92,0.47847,0.27902,0.83582,0.92517,0.90788,0.95432,0.74581,0.92104,0.49033,0.94901,4.16339e-05,4.16339e-05,4.16339e-05
30,4624.03,0.4722,0.27532,0.83594,0.93077,0.90226,0.95372,0.74579,0.91985,0.48884,0.94805,2.54233e-05,2.54233e-05,2.54233e-05
